[2026-07-27T12:08:17.377+0000] {logging_mixin.py:188} INFO - 2026-07-27 12:08:17,377 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_1036.mp3
[2026-07-27T12:08:17.666+0000] {logging_mixin.py:188} INFO - 2026-07-27 12:08:17,666 | INFO     | media.image_downloader | Downloaded background image for scene='restaurant' -> /opt/airflow/output/images/long_1036.jpg
[2026-07-27T12:08:22.772+0000] {logging_mixin.py:188} INFO - 2026-07-27 12:08:22,772 | WARNING  | video.video_builder | BGM file not found at /opt/airflow/assets/bgm/long_bgm.mp3, rendering without background music
[2026-07-27T12:08:55.220+0000] {logging_mixin.py:188} INFO - 2026-07-27 12:08:55,220 | INFO     | video.video_builder | Final video rendered -> /opt/airflow/output/videos/long_1012.mp4
[2026-07-27T12:09:01.937+0000] {logging_mixin.py:188} INFO - 2026-07-27 12:09:01,937 | WARNING  | generators.metadata_generator | Metadata generation via Gemini failed, using fallback: RetryError[<Future at 0x7b1925001bd0 state=finished raised ResourceExhausted>]
[2026-07-27T12:09:02.067+0000] {logging_mixin.py:188} INFO - 2026-07-27 12:09:02,067 | INFO     | media.thumbnail_builder | Built thumbnail -> /opt/airflow/output/thumbnails/long_1012.jpg
[2026-07-27T12:09:02.265+0000] {python.py:237} INFO - Done. Returned value was: {'video_id': 120, 'file_path': '/opt/airflow/output/videos/long_1012.mp4', 'thumbnail_path': '/opt/airflow/output/thumbnails/long_1012.jpg', 'title': '20 Daily English Expressions | Mixed English Expressions', 'description': "Learn natural English expressions with examples.\n\n- I'm running a bit late.\n- Table for two, please.\n- Is this seat taken?\n- Could I get the check, please?\n- Where is the nearest restroom?\n- I'd like to check in, please.\n- What do you recommend?\n- Let's touch base next week.\n- I'll get back to you on that.\n- Could you speak a little slower, please?", 'tags': ['english', 'learnenglish', 'dailyenglish', 'englishphrases'], 'video_type': 'long'}
[2026-07-27T12:09:02.266+0000] {taskinstance.py:441} INFO - ::group::Post task execution logs
[2026-07-27T12:09:02.289+0000] {taskinstance.py:1206} INFO - Marking task as SUCCESS. dag_id=youtube_english_video_pipeline, task_id=build_long_video_3, run_id=scheduled__2026-07-26T12:00:00+00:00, execution_date=20260726T120000, start_date=20260727T120634, end_date=20260727T120902
[2026-07-27T12:09:02.343+0000] {local_task_job_runner.py:243} INFO - Task exited with return code 0
[2026-07-27T12:09:02.502+0000] {taskinstance.py:3503} INFO - 1 downstream tasks scheduled from follow-on schedule check
[2026-07-27T12:09:02.508+0000] {local_task_job_runner.py:222} INFO - ::endgroup::
