[2026-09-20T11:30:24.106+0000] {logging_mixin.py:188} INFO - 2026-09-20 11:30:24,106 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_3424.mp3
[2026-09-20T11:30:24.330+0000] {logging_mixin.py:188} INFO - 2026-09-20 11:30:24,330 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_3424.mp3
[2026-09-20T11:30:24.920+0000] {logging_mixin.py:188} INFO - 2026-09-20 11:30:24,920 | INFO     | media.image_downloader | Downloaded background image for scene='greeting' -> /opt/airflow/output/images/long_3424.jpg
[2026-09-20T11:30:29.273+0000] {logging_mixin.py:188} INFO - 2026-09-20 11:30:29,273 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_3438.mp3
[2026-09-20T11:30:29.621+0000] {logging_mixin.py:188} INFO - 2026-09-20 11:30:29,621 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_3438.mp3
[2026-09-20T11:30:30.220+0000] {logging_mixin.py:188} INFO - 2026-09-20 11:30:30,219 | INFO     | media.image_downloader | Downloaded background image for scene='commute' -> /opt/airflow/output/images/long_3438.jpg
[2026-09-20T11:30:35.366+0000] {logging_mixin.py:188} INFO - 2026-09-20 11:30:35,365 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_3439.mp3
[2026-09-20T11:30:35.682+0000] {logging_mixin.py:188} INFO - 2026-09-20 11:30:35,682 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_3439.mp3
[2026-09-20T11:30:36.393+0000] {logging_mixin.py:188} INFO - 2026-09-20 11:30:36,392 | INFO     | media.image_downloader | Downloaded background image for scene='cafe' -> /opt/airflow/output/images/long_3439.jpg
[2026-09-20T11:30:45.195+0000] {logging_mixin.py:188} INFO - 2026-09-20 11:30:45,195 | WARNING  | video.video_builder | BGM file not found at /opt/airflow/assets/bgm/long_bgm.mp3, rendering without background music
[2026-09-20T11:31:18.566+0000] {logging_mixin.py:188} INFO - 2026-09-20 11:31:18,566 | INFO     | video.video_builder | Final video rendered -> /opt/airflow/output/videos/long_3281.mp4
[2026-09-20T11:31:22.307+0000] {logging_mixin.py:188} INFO - 2026-09-20 11:31:22,307 | INFO     | media.thumbnail_builder | Built thumbnail -> /opt/airflow/output/thumbnails/long_3281.jpg
[2026-09-20T11:31:22.473+0000] {python.py:237} INFO - Done. Returned value was: {'video_id': 413, 'file_path': '/opt/airflow/output/videos/long_3281.mp4', 'thumbnail_path': '/opt/airflow/output/thumbnails/long_3281.jpg', 'title': '20 Essential Small Talk Phrases for Everyday English Conversations', 'description': "Struggling to keep a conversation going in English? In this video, Taky from Taky's Language School teaches you 20 essential small talk phrases to help you sound more natural and confident. Whether you are meeting someone new, catching up with a friend, or navigating daily errands, these practical expressions will help you communicate with ease. We cover everything from greetings like 'How's it going?' and 'Long time no see' to polite requests like 'Could you speak a bit slower?' and 'Could you repeat that?'. Perfect for beginners and intermediate learners looking to improve their social English skills. Don't forget to practice along with us and subscribe for more English lessons!", 'tags': ['English conversation', 'Small talk phrases', 'Learn English', 'English speaking practice', "Taky's Language School", 'Everyday English', 'English fluency', 'Speak English naturally', 'English for beginners', 'Spoken English'], 'video_type': 'long'}
[2026-09-20T11:31:22.474+0000] {taskinstance.py:441} INFO - ::group::Post task execution logs
[2026-09-20T11:31:22.505+0000] {taskinstance.py:1206} INFO - Marking task as SUCCESS. dag_id=youtube_english_video_pipeline, task_id=build_long_video_10, run_id=manual__2026-09-20T11:03:20.949531+00:00, execution_date=20260920T110320, start_date=20260920T112841, end_date=20260920T113122
[2026-09-20T11:31:22.563+0000] {local_task_job_runner.py:243} INFO - Task exited with return code 0
[2026-09-20T11:31:22.823+0000] {taskinstance.py:3503} INFO - 1 downstream tasks scheduled from follow-on schedule check
[2026-09-20T11:31:22.832+0000] {local_task_job_runner.py:222} INFO - ::endgroup::
